game,move_count,move_times,moves,moves_to_mate,starting_variation,winner,sims,exploration_alg
game12,9,"[48.160219594999944, 48.328798382997775, 46.524529218997486, 40.71113613399939, 9.629418780001288]","[Move.from_uci('c7a7'), Move.from_uci('e2e4'), Move.from_uci('a7a6'), Move.from_uci('e7g7'), Move.from_uci('g7g6')]",mate_in_3,1,White,900,UCB
game13,5,"[48.84389878000002, 47.87234502100182, 10.48255737299769]","[Move.from_uci('e7e6'), Move.from_uci('f5d6'), Move.from_uci('e6g6')]",mate_in_3,1,White,900,UCB
game14,3,"[48.16857618299764, 12.105110254997271]","[Move.from_uci('f2f3'), Move.from_uci('f3f4')]",mate_in_3,1,White,900,UCB
game15,7,"[48.22868844200275, 47.61911705499733, 46.5873334909993, 14.55885804799982]","[Move.from_uci('e7e5'), Move.from_uci('g1h2'), Move.from_uci('c7c6'), Move.from_uci('c6g6')]",mate_in_3,1,White,900,UCB
game16,11,"[47.963655943996855, 48.06965023799785, 45.622255780999694, 46.54971178999767, 42.79209109200019, 10.524951554998552]","[Move.from_uci('a6a7'), Move.from_uci('a7a8q'), Move.from_uci('a8b8'), Move.from_uci('c7c6'), Move.from_uci('e7e6'), Move.from_uci('e6g6')]",mate_in_3,1,White,900,UCB
game17,15,"[48.72933904200181, 49.42327443600152, 48.429670415000146, 47.072357492001174, 48.44779013899824, 48.30224882699986, 47.798362888002885, 6.715774915002839]","[Move.from_uci('c7a7'), Move.from_uci('f2f3'), Move.from_uci('f5d4'), Move.from_uci('e2e3'), Move.from_uci('a7d7'), Move.from_uci('f3f4'), Move.from_uci('e7f7'), Move.from_uci('d4f5')]",mate_in_3,1,White,900,UCB
game18,5,"[48.87113081499774, 47.291949383998144, 11.152616177001619]","[Move.from_uci('g1h1'), Move.from_uci('e7g7'), Move.from_uci('g7g6')]",mate_in_3,1,White,900,UCB
game19,11,"[49.40852656700008, 48.11690157599878, 48.39298893600062, 49.396488880000106, 49.24272780400133, 8.928550739998173]","[Move.from_uci('h4g6'), Move.from_uci('g6e5'), Move.from_uci('e5g6'), Move.from_uci('e7e3'), Move.from_uci('c7g7'), Move.from_uci('e3e5')]",mate_in_3,1,White,900,UCB
game0,20,"[64.49220807699749, 64.4934078289989, 62.50908088199867, 64.40967677300068, 63.93179991800207, 62.8793516629994, 63.91994243799854, 64.26028959199903, 62.137841047999245, 60.89195219600151]","[Move.from_uci('h2h4'), Move.from_uci('d5b6'), Move.from_uci('b6a4'), Move.from_uci('c4d3'), Move.from_uci('d1e2'), Move.from_uci('a4b6'), Move.from_uci('h1h2'), Move.from_uci('d3c4'), Move.from_uci('c1c3'), Move.from_uci('h2h1')]",mate_in_4,0,draw,900,UCB
game1,20,"[65.31147405299998, 59.260457422999025, 59.57277610000165, 60.32277579500078, 59.71220935100064, 59.76378832499904, 59.762098758998036, 59.94910829499713, 58.38638094400085, 57.161744780001754]","[Move.from_uci('h2g3'), Move.from_uci('d1e2'), Move.from_uci('c4b5'), Move.from_uci('e2d2'), Move.from_uci('d2e2'), Move.from_uci('b5d3'), Move.from_uci('h1h5'), Move.from_uci('d5e3'), Move.from_uci('e3f5'), Move.from_uci('d3c4')]",mate_in_4,0,draw,900,UCB
game2,20,"[64.39697050500035, 65.1470957269994, 65.61681229899841, 67.02225992899912, 66.2870070329991, 65.89491114799966, 66.69039143900227, 65.34362845999931, 67.10819747400092, 63.67106795699874]","[Move.from_uci('c1a1'), Move.from_uci('d1c2'), Move.from_uci('e1d2'), Move.from_uci('a1f1'), Move.from_uci('f1c1'), Move.from_uci('d5f6'), Move.from_uci('e3e4'), Move.from_uci('c4d3'), Move.from_uci('d3c4'), Move.from_uci('h1f1')]",mate_in_4,0,draw,900,UCB
game3,20,"[63.87476064799921, 68.30327981900336, 66.79847169700224, 65.76888496000174, 64.88635645499744, 64.4305060580009, 67.27868120399944, 66.67220341699795, 66.52211111399811, 63.967019589999836]","[Move.from_uci('c1a1'), Move.from_uci('c4f1'), Move.from_uci('h2h4'), Move.from_uci('f1d3'), Move.from_uci('d5c3'), Move.from_uci('h1h2'), Move.from_uci('b2b4'), Move.from_uci('d3e2'), Move.from_uci('f2e3'), Move.from_uci('c3a4')]",mate_in_4,0,draw,900,UCB
game4,20,"[66.08277673900011, 64.47241039699657, 62.909819910000806, 64.43140442499862, 64.25294298300287, 63.107518136999715, 62.32497119300024, 62.69484620300136, 62.52270981300171, 61.86782557599872]","[Move.from_uci('d5f6'), Move.from_uci('f6d5'), Move.from_uci('a3a4'), Move.from_uci('d5b4'), Move.from_uci('e1d1'), Move.from_uci('e3f4'), Move.from_uci('c4f1'), Move.from_uci('f1h3'), Move.from_uci('h3f5'), Move.from_uci('b4a2')]",mate_in_4,0,draw,900,UCB
game5,5,"[67.4867388979983, 63.98047009500078, 14.51034010100193]","[Move.from_uci('d5f6'), Move.from_uci('h2g3'), Move.from_uci('h1h7')]",mate_in_4,0,White,900,UCB
game6,20,"[65.01412906500263, 65.50316551099968, 64.68054906700127, 66.41904796200106, 65.56553333500051, 65.81682769599865, 62.54970657800004, 61.60927123700094, 61.48835572600001, 61.27042810200146]","[Move.from_uci('b2b3'), Move.from_uci('c1c2'), Move.from_uci('c2c1'), Move.from_uci('d5f4'), Move.from_uci('c4d5'), Move.from_uci('f4g6'), Move.from_uci('h1f1'), Move.from_uci('d1e2'), Move.from_uci('f1g1'), Move.from_uci('b3b4')]",mate_in_4,0,draw,900,UCB
game7,20,"[65.099900281999, 65.19178496499808, 66.32832773900009, 65.0204627460007, 65.92809399100224, 63.48459134800214, 65.41521465299957, 64.42727975600064, 64.9629436749965, 64.7164163080015]","[Move.from_uci('d5c3'), Move.from_uci('f3f4'), Move.from_uci('d1g4'), Move.from_uci('g4h4'), Move.from_uci('c1b1'), Move.from_uci('c4e2'), Move.from_uci('e2f3'), Move.from_uci('f3d1'), Move.from_uci('h1f1'), Move.from_uci('f2g3')]",mate_in_4,0,draw,900,UCB
game8,20,"[65.16027291799764, 65.24548778499957, 63.97305075899931, 64.67197344799933, 65.83548200599762, 64.09231943000123, 62.361287558000186, 63.83258339999884, 62.614674210002704, 63.43525395300094]","[Move.from_uci('d1d4'), Move.from_uci('d4d1'), Move.from_uci('e3e4'), Move.from_uci('c1a1'), Move.from_uci('d5b6'), Move.from_uci('d1d7'), Move.from_uci('b6a4'), Move.from_uci('c4e6'), Move.from_uci('e6b3'), Move.from_uci('a1c1')]",mate_in_4,0,draw,900,UCB
game9,20,"[64.47912989500037, 63.54084080800021, 64.2913050779971, 61.794886511001096, 62.65418861800208, 61.8517464079996, 60.50362214699999, 60.90912612900138, 54.69171208099942, 61.164033946002746]","[Move.from_uci('d1b3'), Move.from_uci('b3a2'), Move.from_uci('d5f6'), Move.from_uci('c4g8'), Move.from_uci('a2a1'), Move.from_uci('c1c5'), Move.from_uci('g8f7'), Move.from_uci('h1g1'), Move.from_uci('e1d1'), Move.from_uci('f6e4')]",mate_in_4,0,draw,900,UCB
game10,20,"[64.93470517199967, 64.05868739300058, 64.55797954199807, 64.68467886600047, 65.14117520200307, 65.0364276520013, 65.34425597500012, 64.88756009200006, 64.19362407500012, 63.08264115000202]","[Move.from_uci('h2h4'), Move.from_uci('h1h3'), Move.from_uci('h3h1'), Move.from_uci('c4b5'), Move.from_uci('d5e7'), Move.from_uci('d1a4'), Move.from_uci('b5e2'), Move.from_uci('e2f3'), Move.from_uci('c1c2'), Move.from_uci('e7f5')]",mate_in_4,0,draw,900,UCB
game11,17,"[64.27976858200054, 63.41930663399762, 62.75018574099886, 62.886659501000395, 59.82912788300018, 61.49989032400117, 59.509851541999524, 60.483630284001265, 15.31380235100005]","[Move.from_uci('d5b6'), Move.from_uci('c4d5'), Move.from_uci('c1c4'), Move.from_uci('c4h4'), Move.from_uci('d5c6'), Move.from_uci('d1d6'), Move.from_uci('h4h6'), Move.from_uci('d6g6'), Move.from_uci('g6h7')]",mate_in_4,0,White,900,UCB
game12,20,"[66.43931922900083, 65.09763980499702, 64.19643016800183, 65.01927485299893, 64.08056352700078, 62.518258567000885, 63.2247280110023, 61.264382294000825, 60.499333029998525, 57.70676064100189]","[Move.from_uci('d5c3'), Move.from_uci('c4d5'), Move.from_uci('b2b3'), Move.from_uci('e3e4'), Move.from_uci('h2h4'), Move.from_uci('d1d4'), Move.from_uci('c3e2'), Move.from_uci('c1c4'), Move.from_uci('h1f1'), Move.from_uci('e2g3')]",mate_in_4,0,draw,900,UCB
game13,20,"[65.98793269700036, 64.99176365300082, 65.1404307369994, 63.96349830200052, 63.68999711500146, 61.503067501998885, 63.10089620000144, 59.3729189379992, 58.61144300500018, 55.65725822099921]","[Move.from_uci('d1a4'), Move.from_uci('e1d2'), Move.from_uci('c4d3'), Move.from_uci('c1c2'), Move.from_uci('c2c5'), Move.from_uci('c5c4'), Move.from_uci('c4g4'), Move.from_uci('a4a7'), Move.from_uci('b2b4'), Move.from_uci('h1c1')]",mate_in_4,0,draw,900,UCB
game14,20,"[64.10508722099985, 64.41643865900187, 63.84377591199882, 64.23787169299976, 63.4808039970012, 62.37611878399912, 62.03361875200062, 61.32206747099917, 60.71984271399924, 60.58273144899795]","[Move.from_uci('h2h4'), Move.from_uci('c1c3'), Move.from_uci('f2g3'), Move.from_uci('g3g4'), Move.from_uci('b2b4'), Move.from_uci('d5c7'), Move.from_uci('c4a2'), Move.from_uci('a2e6'), Move.from_uci('e3e4'), Move.from_uci('g4g5')]",mate_in_4,0,draw,900,UCB
game15,20,"[64.52486744999987, 64.0244533490004, 63.84072685299907, 63.4445903229971, 63.51750914800141, 63.813552580999385, 63.93905347799955, 66.70837306599788, 64.62535621899951, 66.02064847899965]","[Move.from_uci('h1g1'), Move.from_uci('a3a4'), Move.from_uci('h2h4'), Move.from_uci('d1b3'), Move.from_uci('c4d3'), Move.from_uci('e1d1'), Move.from_uci('d3c4'), Move.from_uci('c4a6'), Move.from_uci('e3e4'), Move.from_uci('e4f5')]",mate_in_4,0,draw,900,UCB
game16,20,"[65.80608825400122, 65.48922138700073, 64.29242600100042, 66.1212176500012, 63.50011532799908, 66.84178646600049, 65.20852140300121, 64.78818632299954, 65.58648457800155, 66.48089111800073]","[Move.from_uci('d1a4'), Move.from_uci('d5b4'), Move.from_uci('c4a2'), Move.from_uci('f3f4'), Move.from_uci('a2b3'), Move.from_uci('e1g1'), Move.from_uci('c1b1'), Move.from_uci('b4d3'), Move.from_uci('h2h3'), Move.from_uci('f1d1')]",mate_in_4,0,draw,900,UCB
game17,15,"[65.37909204800235, 63.58562493699719, 66.62623490800252, 65.75656044599964, 63.71378854700015, 64.78931738200117, 65.20208399599869, 17.639832290002232]","[Move.from_uci('d1a4'), Move.from_uci('c1a1'), Move.from_uci('d5c3'), Move.from_uci('b2b3'), Move.from_uci('c4d5'), Move.from_uci('e1d1'), Move.from_uci('a4e8'), Move.from_uci('e8f8')]",mate_in_4,0,White,900,UCB
game18,20,"[65.7375754929999, 71.50019193899789, 68.61914573499962, 66.45103342600123, 65.22789359699891, 63.440835814999446, 61.73000292300276, 61.95802431899938, 62.035551724999095, 60.186475505001]","[Move.from_uci('d1b3'), Move.from_uci('b3b5'), Move.from_uci('c1c2'), Move.from_uci('e1f1'), Move.from_uci('d5f6'), Move.from_uci('c2c1'), Move.from_uci('c4a2'), Move.from_uci('a2d5'), Move.from_uci('c1c6'), Move.from_uci('b5a5')]",mate_in_4,0,draw,900,UCB
game19,20,"[66.6025405170003, 67.10940137299986, 66.51204042999962, 67.85346070599917, 62.40064287099813, 61.59314348800035, 57.969553758000984, 61.409605830001965, 62.321968234999076, 61.15553960200123]","[Move.from_uci('f2g3'), Move.from_uci('b2b4'), Move.from_uci('f3f4'), Move.from_uci('b4b5'), Move.from_uci('h1g1'), Move.from_uci('g3g4'), Move.from_uci('d1e2'), Move.from_uci('e1d1'), Move.from_uci('c4b5'), Move.from_uci('g1g3')]",mate_in_4,0,draw,900,UCB
game0,5,"[50.88373860499996, 46.846775041998626, 8.227812432000064]","[Move.from_uci('e6f8'), Move.from_uci('f8e6'), Move.from_uci('d7d8')]",mate_in_5,0,White,900,UCB
game1,7,"[50.96621030000097, 48.703562094997324, 46.47505135299798, 9.317258489998494]","[Move.from_uci('e6f8'), Move.from_uci('g3g4'), Move.from_uci('b7b8'), Move.from_uci('f8h7')]",mate_in_5,0,White,900,UCB
game2,15,"[50.36128804699911, 51.19242777999898, 49.274084774002404, 47.65664394200212, 49.15459765600099, 50.40540988999783, 49.93614583300223, 6.923220805998426]","[Move.from_uci('e6g5'), Move.from_uci('g5f7'), Move.from_uci('f7e5'), Move.from_uci('e5f7'), Move.from_uci('f7g5'), Move.from_uci('g2h3'), Move.from_uci('d7h7'), Move.from_uci('b7g7')]",mate_in_5,0,White,900,UCB
game3,5,"[50.39017568700001, 49.498082360998524, 10.749446361998707]","[Move.from_uci('d7d4'), Move.from_uci('b7f7'), Move.from_uci('f7f8')]",mate_in_5,0,White,900,UCB
game4,9,"[50.98136126800091, 51.22585137900023, 51.79120947899719, 48.94871841799977, 8.39637929500168]","[Move.from_uci('d7e7'), Move.from_uci('g2h3'), Move.from_uci('b7d7'), Move.from_uci('d7d8'), Move.from_uci('d8f8')]",mate_in_5,0,White,900,UCB
game5,11,"[49.08692356099709, 47.240204546000314, 45.06558479799787, 46.06704591000016, 46.95297103100165, 10.34962488200108]","[Move.from_uci('e6f8'), Move.from_uci('g3g4'), Move.from_uci('f8e6'), Move.from_uci('g2h1'), Move.from_uci('b7b6'), Move.from_uci('d7d8')]",mate_in_5,0,White,900,UCB
game6,3,"[50.488700884001446, 9.992459608001809]","[Move.from_uci('b7b8'), Move.from_uci('b8f8')]",mate_in_5,0,White,900,UCB
game7,3,"[49.94773713199902, 9.182948095000029]","[Move.from_uci('d7f7'), Move.from_uci('f7f8')]",mate_in_5,0,White,900,UCB
game8,9,"[50.83922537900071, 50.15724589200181, 49.08943579500192, 49.65996975699818, 7.034021155999653]","[Move.from_uci('b7b8'), Move.from_uci('h2h4'), Move.from_uci('d7b7'), Move.from_uci('b7b8'), Move.from_uci('b8f8')]",mate_in_5,0,White,900,UCB
game9,7,"[49.85025742500147, 50.27511566499743, 50.13251731099808, 8.606608625999797]","[Move.from_uci('d7e7'), Move.from_uci('h2h4'), Move.from_uci('e7f7'), Move.from_uci('f7f8')]",mate_in_5,0,White,900,UCB
game10,3,"[52.08087527899988, 22.561145771000156]","[Move.from_uci('g3f4'), Move.from_uci('d7d8')]",mate_in_5,0,White,900,UCB
game11,11,"[50.23405165400254, 50.93719005300227, 49.65325221999956, 49.805031325002346, 47.99866805200145, 8.61949567299962]","[Move.from_uci('e6c7'), Move.from_uci('c7e6'), Move.from_uci('d7c7'), Move.from_uci('b3b4'), Move.from_uci('c7h7'), Move.from_uci('b7g7')]",mate_in_5,0,White,900,UCB
game12,20,"[51.040883115001634, 50.61584914800187, 49.22308117200009, 50.320257457999105, 47.15194039999915, 47.80479659399862, 47.3723077249997, 48.144699423999555, 48.9880809440001, 48.06211243299913]","[Move.from_uci('d7d8'), Move.from_uci('d8d2'), Move.from_uci('g2f2'), Move.from_uci('h2h3'), Move.from_uci('f2f3'), Move.from_uci('e2e4'), Move.from_uci('b7b4'), Move.from_uci('b4b8'), Move.from_uci('h3h4'), Move.from_uci('b8b5')]",mate_in_5,0,draw,900,UCB
game13,5,"[48.6079113520027, 43.60294447400156, 10.420573310999316]","[Move.from_uci('d7f7'), Move.from_uci('g2f2'), Move.from_uci('f7f8')]",mate_in_5,0,White,900,UCB
game14,20,"[50.15948792299969, 49.00039693400322, 49.62489166999876, 49.014209672001016, 45.88795212799596, 46.395773366006324, 48.53880561299593, 47.23702226200112, 46.67007624600228, 46.50794472299458]","[Move.from_uci('d7d4'), Move.from_uci('b7c7'), Move.from_uci('e6c5'), Move.from_uci('g3g4'), Move.from_uci('d4a4'), Move.from_uci('c7e7'), Move.from_uci('b3b4'), Move.from_uci('g2g1'), Move.from_uci('e7d7'), Move.from_uci('d7d4')]",mate_in_5,0,draw,900,UCB
game15,7,"[48.842936831999396, 49.244417465997685, 49.263535385005525, 7.647493964002933]","[Move.from_uci('g2h3'), Move.from_uci('d7d4'), Move.from_uci('e2e4'), Move.from_uci('d4d8')]",mate_in_5,0,White,900,UCB
game16,7,"[49.4580063589965, 46.99635402399872, 43.00808553800016, 7.976917541003786]","[Move.from_uci('g2h3'), Move.from_uci('e6f8'), Move.from_uci('f8e6'), Move.from_uci('d7d8')]",mate_in_5,0,White,900,UCB
game17,3,"[48.02010966299713, 13.851022142000147]","[Move.from_uci('d7f7'), Move.from_uci('f7f8')]",mate_in_5,0,White,900,UCB
game18,3,"[49.230849920000765, 10.489556624001125]","[Move.from_uci('b7b8'), Move.from_uci('b8f8')]",mate_in_5,0,White,900,UCB
game19,3,"[49.47559615899809, 8.714216375999968]","[Move.from_uci('b7b8'), Move.from_uci('b8f8')]",mate_in_5,0,White,900,UCB
