game,move_count,move_times,moves_to_mate,starting_variation,winner,sims,exploration_alg
game13,7,[12.702476666999928|14.421312129999933|27.02822481599992|4.101558696000211],mate_in_2,0,White,800,UCB
game14,5,[15.026987481999868|8.727160881999907|4.204666674000009],mate_in_2,0,White,800,UCB
game0,20,[48.553019133999896|48.82261217500013|50.844316081000215|8.771848395000006|22.83283697899992|48.88880052700006|49.504781846000014|49.22748884900011|48.64995622300012|25.923257336000006],mate_in_3,0,draw,800,UCB
game1,13,[13.348594897000112|50.83257399000013|21.578998829000057|17.282733601000018|21.291440692999913|29.613814123999873|4.049616498999967],mate_in_3,0,White,800,UCB
game2,20,[50.915107588999945|51.03889019799999|51.02394295299996|51.92673872599994|49.98542527199993|49.64192612199986|49.06399780200036|51.407601309000256|51.09212769600026|48.60034391800036],mate_in_3,0,draw,800,UCB
game3,17,[12.772132462000172|22.032545188999848|19.081222421999882|14.291604102000292|44.745988186999966|48.65416236500005|46.49135997099984|10.53264845700005|3.9412289120000423],mate_in_3,0,White,800,UCB
game4,20,[52.34433169999966|51.78382179300024|49.49332853599981|50.82219123599998|48.51330174800023|50.44781097699979|51.77023143099996|21.305714798999816|46.19856000599975|45.44636035099984],mate_in_3,0,draw,800,UCB
game5,5,[8.698479570000018|8.739384470999994|4.863472568000361],mate_in_3,0,White,800,UCB
game6,9,[49.37435503500001|46.54927012899998|13.251727506999941|10.778183312000237|4.115955071999906],mate_in_3,0,White,800,UCB
game7,17,[22.271905954999966|25.17655318800007|19.875258907999978|13.30930583700001|22.078115648999756|18.310081367999828|17.54918480699962|13.946657466000033|4.516036388999964],mate_in_3,0,White,800,UCB
game8,19,[50.78492066700028|47.95241549000002|48.877862843|47.161213395999766|46.534315556000365|44.52474515899985|41.21226555999965|42.56470626800001|10.2376507580002|4.831951033999758],mate_in_3,0,White,800,UCB
game9,19,[50.436423746999935|49.823712052000246|36.86155488199984|14.445568880999872|19.489284533000045|26.78465964199995|39.59648652900023|47.60107776599989|6.892170420000184|4.274643368999932],mate_in_3,0,White,800,UCB
game10,20,[17.841897650999726|29.81622123199986|51.72947753800008|49.09625799600008|51.38430823999988|50.11903833299948|53.130595608000476|54.38667117500063|52.36127774800025|40.19058952299929],mate_in_3,0,draw,800,UCB
game11,20,[50.63255860500067|45.41373766199922|21.71922582499974|31.437065126999187|48.363152385999456|47.63042300899997|45.94633358400006|46.74133416099994|43.552952645000005|41.81430579700009],mate_in_3,0,draw,800,UCB
game12,20,[37.65868293599942|11.555825837999691|4.386028310000256|51.500282070999674|8.705036131999805|10.42126066399942|49.80692994199944|46.416610987999775|48.040282804000526|50.69392585100013],mate_in_3,0,draw,800,UCB
game13,3,[34.48019354999997|4.924117337000098],mate_in_3,0,White,800,UCB
game14,20,[50.67301997999948|49.81755677300043|49.82955480700002|49.75160341999981|48.11381547399924|37.05165998600023|50.67262022500017|23.509491929000433|50.37039451599958|38.42073829899982],mate_in_3,0,draw,800,UCB
game0,3,[13.125095523999335|4.777744044999963],mate_in_5,0,White,800,UCB
game1,3,[10.782292020000568|4.471490062000157],mate_in_5,0,White,800,UCB
game2,20,[32.94266640800015|16.589629772999615|38.75331095300044|23.58120609299931|23.99930527699962|42.03342186699956|42.546343546999196|31.100787686999865|42.67825199500021|17.35985055400033],mate_in_5,0,draw,800,UCB
game3,7,[25.11609793400021|13.204315611000311|7.01188203700076|4.375040586000068],mate_in_5,0,White,800,UCB
game4,20,[26.371697610999945|13.806963322999763|44.26711532900026|33.605969200999425|14.711939967000035|17.34546571699957|31.732086027999685|43.35208902100021|18.839680336999663|42.08697997499985],mate_in_5,0,draw,800,UCB
game5,11,[28.54997834400001|32.723357292999935|20.864275516000816|31.08719690700036|46.27776415900007|4.051167841999813],mate_in_5,0,White,800,UCB
game6,3,[13.941575066999576|4.436623741000403],mate_in_5,0,White,800,UCB
game7,13,[32.544304622999334|21.041815190000307|13.642125471999861|13.165308157999789|31.58808877499996|14.288674051999806|4.767680044999906],mate_in_5,0,White,800,UCB
game8,7,[46.77307157700034|11.264840496999568|12.356002899000487|3.973501345000841],mate_in_5,0,White,800,UCB
game9,13,[14.592458559000079|11.978984321000098|9.239058613000452|37.111448214999655|47.861145097999724|9.888968362000014|4.62656315500044],mate_in_5,0,White,800,UCB
game10,7,[20.91194727799939|21.332330785000522|25.888533165999434|4.029856512999686],mate_in_5,0,White,800,UCB
game11,3,[31.81783403100053|4.5724987549992875],mate_in_5,0,White,800,UCB
game12,3,[14.29904432300009|4.51426651499969],mate_in_5,0,White,800,UCB
game13,11,[40.427393416000086|39.677800806999585|13.905178001999957|28.10734096000033|7.579659429000458|4.109599397000238],mate_in_5,0,White,800,UCB
game14,9,[20.851544847000696|22.480798916999447|24.125701062999724|7.935802035999586|4.533659941000224],mate_in_5,0,White,800,UCB
