game,move_count,move_times,moves_to_mate,starting_variation,winner,sims,exploration_alg
game20,20,[83.09997370199926|81.92164988500008|82.71634882899889|85.38972031400044|82.62409847500021|81.6067003859971|82.80162487000052|78.88259974399989|80.84799036800177|79.03858886300077],mate_in_4,0,draw,1000,Thompson Sampling
game7,20,[85.08930546800002|85.45497681300003|83.81159411199951|82.19319852700028|83.11181429200042|84.47361439900124|83.5578351639997|84.727813649999|84.88431228199988|82.48378004400001],mate_in_4,0,draw,1000,Thompson Sampling
game6,20,[83.9267273559999|81.54269005999959|81.09050170599949|81.97637697499886|80.807050591|80.72301083599996|82.45439919599994|82.28924711999935|82.92804518600133|83.0721235509991],mate_in_4,0,draw,1000,Thompson Sampling
game23,20,[84.6703438479999|84.22796647499854|83.60847776900118|83.81959407899922|83.99417917200117|84.16705439099678|79.66853453499789|74.46952745499948|77.96967587700055|77.99965488100133],mate_in_4,0,draw,1000,Thompson Sampling
game13,20,[84.12220280800102|81.69111139699817|81.16096887200183|78.7811960930012|76.78064277500016|77.8948521850034|77.34540595200087|78.10596704600175|75.94450843600134|76.17334727200068],mate_in_4,0,draw,1000,Thompson Sampling
game10,20,[84.51163899400126|85.6769122730002|83.42371970100066|82.98306748499817|80.52021431200046|81.10919022400049|80.22614058999898|81.92095083100139|77.69617424199896|78.76562040399949],mate_in_4,0,draw,1000,Thompson Sampling
game2,20,[83.58479310400071|82.76432412899885|82.0648098620004|83.42839853999976|83.1882018439992|82.36957884100048|78.9869475359992|79.20389828599946|79.17465921199982|79.33993114499935],mate_in_4,0,draw,1000,Thompson Sampling
game15,20,[84.70062118500209|80.59028127700003|80.5176251749981|81.00991731300019|78.06610622500011|77.40906092799923|76.01545389999956|77.21078656300233|79.11351194799863|75.62462736900125],mate_in_4,0,draw,1000,Thompson Sampling
game18,20,[83.53630083700045|84.87634170899764|84.19210330699934|82.39556888800143|83.27833050400295|83.09005511099895|83.34549604700078|80.88969101899784|81.12470272599967|81.0654365570008],mate_in_4,0,draw,1000,Thompson Sampling
game29,19,[85.2401441280017|78.90610754899535|79.62357179199898|79.37088687699725|74.79794249800034|72.86839122999663|77.15382517599937|76.65172171999438|70.85603426400485|11.979135980000137],mate_in_4,0,White,1000,Thompson Sampling
game25,20,[84.64106883299974|85.22043451599893|84.41237174900016|80.91952022600162|80.1344162159985|78.87800848000188|78.5196603229997|74.7719537869998|72.14641610900071|68.23075194600096],mate_in_4,0,draw,1000,Thompson Sampling
game5,20,[83.93488136400083|84.2313370009997|85.10256898400075|83.17628493200027|84.00209925799936|83.55796341300083|80.38992777699968|80.87867419400027|78.18949063800028|80.5738920749991],mate_in_4,0,draw,1000,Thompson Sampling
game27,20,[83.30544396299956|85.13208319600017|84.65988830900096|85.15735930499795|83.19293615700008|83.31670506999944|84.82091394799863|84.04052393999882|83.83472529999926|82.49776411800121],mate_in_4,0,draw,1000,Thompson Sampling
game17,20,[84.10060006899948|85.1657238259977|82.59233220399983|84.31101679899803|86.51138901000013|86.25120877399968|85.76832358400134|86.20153000899882|83.98876734900114|84.66080096100268],mate_in_4,0,draw,1000,Thompson Sampling
game1,9,[83.9463160030009|80.3660465009998|79.92287024799953|81.08735232100116|10.012309212999753],mate_in_4,0,White,1000,Thompson Sampling
game0,20,[83.60400484800084|81.7092266389991|80.22119927200038|82.87245193900162|83.38203531600084|82.16670828900169|80.32282907899935|81.26260085099966|79.56686418299978|78.19336220399964],mate_in_4,0,draw,1000,Thompson Sampling
game28,20,[82.45180040700143|82.17372617999717|82.30822109400106|81.55087211999853|81.90986968099969|82.5448064379998|83.26865115300097|82.83836163500018|84.77416719500252|82.85934911300137],mate_in_4,0,draw,1000,Thompson Sampling
game14,11,[82.54482298500079|83.39347965499837|82.30871226899762|81.80015857699982|80.18448379800247|11.242747705000511],mate_in_4,0,White,1000,Thompson Sampling
game22,20,[81.79962257999796|84.02161735099799|85.64321528900109|84.41883100699852|80.51149531600095|78.15902548399754|78.1335987220009|78.02937433600164|77.50641397299842|77.86543960700146],mate_in_4,0,draw,1000,Thompson Sampling
game16,20,[84.51493689299969|84.02206827900227|85.29663021999659|82.89516215399999|85.06050895099906|82.44383373799792|82.95154445099979|76.8720624130001|76.91614360300082|79.11849367399918],mate_in_4,0,draw,1000,Thompson Sampling
game21,20,[63.45065792400419|64.30627155399998|65.6390042149942|72.18457095699705|62.08495658299944|63.27149635800015|64.60107318800146|63.98946684999828|61.88272292000329|59.79599298600078],mate_in_2,1,draw,1000,Thompson Sampling
game26,9,[65.87844941900403|57.022279147997324|55.997824837002554|54.677926684998965|7.5050321529997746],mate_in_2,1,White,1000,Thompson Sampling
game4,20,[60.30662612499873|61.70759940499556|62.91691696400085|62.39342546000262|64.1077135240048|69.54338299400115|64.51228296999761|65.95556136200321|68.26484541600075|63.513616153999465],mate_in_2,1,draw,1000,Thompson Sampling
game24,9,[67.96044660599728|62.74915920499916|64.10841158999392|61.89069707800081|8.707965236004384],mate_in_2,1,White,1000,Thompson Sampling
game8,5,[62.03911075799988|62.50325741800043|8.884059355004865],mate_in_2,1,White,1000,Thompson Sampling
game12,5,[62.40689025800384|58.8273887960022|7.799482165995869],mate_in_2,1,White,1000,Thompson Sampling
game11,5,[62.323114390004775|58.789373610998155|10.224970773997484],mate_in_2,1,White,1000,Thompson Sampling
game19,11,[62.387837190995924|63.480532843997935|60.98825854900497|69.01296013899992|56.15768105100142|8.87157312999625],mate_in_2,1,White,1000,Thompson Sampling
game9,20,[67.36158014099783|62.40455195300456|60.53435841399914|62.98687856900506|62.773413748000166|61.73069933499937|60.483198151996476|60.18856617400161|69.75716360799561|64.63056989300094],mate_in_2,1,draw,1000,Thompson Sampling
game3,19,[59.969955767999636|60.15916633600136|60.185389870006475|62.277933427998505|65.13671548099956|65.57766983300098|63.30984089100093|59.13766791499802|56.91041777400096|7.07520769599796],mate_in_2,1,White,1000,Thompson Sampling
game20,20,[66.77553925899701|66.26217649499449|66.85413082300511|66.25092501000472|65.66460275399731|65.99597017199994|65.47117522299959|60.265515904000495|59.990904840997246|59.61897070800478],mate_in_2,1,draw,1000,Thompson Sampling
game7,5,[62.568618284996774|63.79366335999657|8.831305438005074],mate_in_2,1,White,1000,Thompson Sampling
game6,13,[64.72521609999967|62.04300789399713|62.18042407699977|58.72957266699814|55.62906196100084|39.82065214499744|4.5351181410005665],mate_in_2,1,White,1000,Thompson Sampling
game23,3,[64.03498131500237|10.17666542200459],mate_in_2,1,White,1000,Thompson Sampling
game13,9,[62.03917934200581|61.76925442399806|60.60240506700211|61.27370272100234|6.6850497299965355],mate_in_2,1,White,1000,Thompson Sampling
game10,20,[64.33637668400479|62.47957122200023|56.58772007600055|58.45202597599564|60.235566124996694|59.98212584100111|58.27257478800311|59.7602177880035|58.88993246999598|56.53046422299667],mate_in_2,1,draw,1000,Thompson Sampling
