board,moving_colour,move
01000000000000000000000001000000000000100001000000000000010000000000100000000000000000000010100000000000/10000000000001000000000000000000000000100000000000010000000000001100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000011000000000000000000000000100010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000100000000000000010000000000001001000000000000000000000010000000000001/00000000000010000000000001000000000000100000010000000000000000001000000000010000000000000010000000000001/00000010000000000001000000000000100000000000000000010000000010000000000100000000000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,e2f4
01000000000000000000000001000000000000100001000000000000010000000000100000000000000000000010100000000000/10000000000001000000000000000000000000100000000000010000000000001100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000011000000000000000000000000100010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000100000000000000010000000000001000000001000000000000000010000000000001/00000000000010000000000001000000000000100000010000000000000000001000000000010000000000000010000000000001/00000010000000000001000000000000100000000000000000010000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,f8e7
01000000000000000000000001000000000000100001000000000000010000000000000000000100000000000010100000000000/10000000000001000000000000000000000000100000000000010001000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000011000000000000000000000000100010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000100000000000000010000000000001000000001000000000000000010000000000001/00000000000010000000000001000000000000100000010000000000000000001000000000010000000000000010000000000001/00000010000000000001000000000000100000000000000000010000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,c4e6
01000000000000000000000001000000000000100001000000000000010000000000000000000100000000000010100000000000/10000000000001000000000000000000000000100000000000010001000000000100000000000010000000000001000000000000/00000000000010000000000001100000000000000000000000010000000001000000000000000100010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000001000000000000000010000000000001/00000000000010000000000001000000000000100000010000000000000000001000000000010000000000000010000000000001/00000010000000000001000000000000100000000000000000010000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,f7e6
01000000000000000000000001000000000000100001000000000000010000000000000000000100000000000010100000000000/10000000000001000000000000000000000000100000000000010001000000000000000000000110000000000001000000000000/00000000000010000000000001100000000000000000000000011000000000000000000000000100010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000001000000000000000010000000000001/00000000000010000000000001000000000000100000010000000000000000001000000000010000000000000010000000000001/00000010000000000001000000000000100000000000000000010000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,f4e6
01000000000000000000000001000000000000100001000000000000010000000000000000000100000000000010100000000000/10000000000001000000000000000000000000100000000000010001000000000000000000000110000000000001000000000000/00000000000010000000000001100000000000000000000000010000000010000000000000000100010000000000000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000010000000000000000001000000000010000000000000010000000000001/00000010000000000001000000000000100000000000000000010000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,d8a5
01000000000000000000000001000000000000100000000000010000010000000000000000000100000000000010100000000000/10000000000001000000000000000000000000100000000000010001000000000000000000000110000000000001000000000000/00000000000010000000000001100000000000000000000000010000000010000000000000000100010000000000000000000001/00001000000000000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000010000000000000000001000000000010000000000000010000000000001/00000010000000000001000000000000100000000000000000010000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,c2c3
01000000000000000000000001000000000000100000000000010000010000000000000000000100000000000010100000000000/10000000000001000000000000000000000000100000000000010001000000000000000000000110000000000001000000000000/00000000000010000000000001100000000000000000000000010000000010000000000000000100010000000000000000000001/00001000000000000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000100000000000010000000000000000001000000000010000000000000010000000000001/00000010000000000001000000000000000000100000000000010000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,a5e5
01000000000000000000000001000000000000100000000000010000010000000000000000000100000000000010100000000000/10000000000001000000000000000000000000100000000000010001000000000000000000000110000000000001000000000000/00000000000010000000000001100000000000000000000000010000000010000000000000000100010000000000000000000001/00000000000010000000000001000000000000100000000000010000100000000000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000100000000000010000000000000000001000000000010000000000000010000000000001/00000010000000000001000000000000000000100000000000010000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,f3e3
01000000000000000000000001000000000000100000000000010000010000000000000000000100000000000010100000000000/10000000000001000000000000000000000000100000000000010001000000000000000000000110000000000001000000000000/00000000000010000000000001100000000000000000000000010000000010000000000000000100010000000000000000000001/00000000000010000000000001000000000000100000000000010000100000000000000000000100000000000010000000000001/00000000000010000000000001000000000000100000000000010000000000001000000000000100000000000010000000000001/00000000000010000000000001000000100000000000010000000000000000100000000000000100000000000010000000000001/00000010000000000001000000000000000000100000000000010000000000001000000100000000000010000000000001000000/00000001000000000000000001000000000000100000000000010000000000010000000000000100000000000010000000100000,1,e5e3
